customer_id,name,gender,age,prefecture,registration_date,channel
1,山本 悠人,女性,33.0, 東京都 ,2023-12-24,検索広告
2,吉田 莉子,女性,53.0,東京都,2024-03-25,友人紹介
3,田中 陽斗,男性,,千葉県,2024/06/04,検索広告
4,高橋 陽菜,女性,46.0,東京都,2024-03-08,検索広告
5,鈴木 葵,男性,39.0,愛知県,2024-07-07,オーガニック検索
6,鈴木 結衣,男性,22.0,大阪府,2024-08-30,検索広告
7,鈴木 葵,F,30.0,東京都,2024-03-10,検索広告
8,伊藤 凛,女性,35.0, 東京都 ,2023-09-18,検索広告
9,佐々木 凛,男性,32.0, 埼玉県 ,2024-07-08,検索広告
10,加藤 悠真,男性,38.0,東京都,2024-10-21,SNS広告
11,伊藤 莉子,男性,59.0,千葉県,2023-11-04,メルマガ
12,松本 大翔,女性,53.0,大阪府,2024-03-12,SNS広告
13,佐々木 悠真,M,,愛知県,2024-10-29,SNS広告
14,佐々木 陽斗,男性,24.0,埼玉県,2024/02/12,オーガニック検索
15,松本 莉子,回答なし,54.0, 福岡県 ,2024-09-18,SNS広告
16,山田 陽菜,女性,37.0, 東京都 ,2023-12-11,SNS広告
17,井上 悠真,回答なし,18.0, 兵庫県 ,2023-09-11,SNS広告
18,渡辺 陽斗,女性,47.0,京都府,2024-01-29,SNS広告
19,山口 結衣　,男性,50.0,神奈川県,2024/06/01,SNS広告
20,鈴木 芽依,女性,18.0,東京都,2024-03-14,検索広告
21,伊藤 葵,男性,,東京都,2024/08/13,メルマガ
22,松本 美咲,女性,37.0,広島県,2023-10-12,友人紹介
23,高橋 湊,M,47.0,東京都,2024/07/21,メルマガ
24,小林 美咲　,女性,, 兵庫県 ,2024-02-08,検索広告
25,渡辺 さくら,女性,28.0, 埼玉県 ,2024-06-21,オーガニック検索
26,鈴木 結衣,男性,47.0, 埼玉県 ,2024-06-29,オーガニック検索
27,田中 悠真,男性,32.0,愛知県,2023/06/21,検索広告
28,小林 樹,F,45.0,東京都,2024/07/25,友人紹介
29,吉田 葵,男性,25.0,神奈川県,2024-02-07,オーガニック検索
30,吉田 凛　,女性,22.0,福岡県,2024-11-07,検索広告
31,高橋 芽依,男性,47.0,東京都,2023-12-01,友人紹介
32,渡辺 大翔,M,41.0,広島県,2024-10-03,検索広告
33,鈴木 大翔,男性,49.0,福岡県,2023-10-03,SNS広告
34,佐藤 樹,男性,32.0,宮城県,2023-05-30,検索広告
35,山本 蓮,女性,28.0,千葉県,2024-07-20,検索広告
36,加藤 陽菜,F,54.0,東京都,2023-06-22,友人紹介
37,渡辺 陽斗,男性,20.0,愛知県,2023-07-14,オーガニック検索
38,佐藤 葵,女性,53.0,福岡県,2024-11-01,検索広告
39,田中 蓮,女性,54.0,広島県,2024-02-05,オーガニック検索
40,山本 美咲,M,48.0,福岡県,2024-06-18,メルマガ
41,渡辺 湊,女性,30.0,東京都,2024-06-14,メルマガ
42,山口 湊,女性,28.0,千葉県,2024-07-08,友人紹介
43,加藤 湊,回答なし,35.0,東京都,2024-02-16,メルマガ
44,井上 結衣　,F,,広島県,2023-03-26,オーガニック検索
45,高橋 陽斗,女性,26.0,東京都,2023-08-22,SNS広告
46,渡辺 陽菜,女性,46.0,東京都,2023-10-29,友人紹介
47,鈴木 湊　,女性,46.0,北海道,2024-10-15,検索広告
48,佐藤 葵　,男性,25.0,東京都,2024-09-21,検索広告
49,松本 美咲,M,46.0,東京都,2023-06-19,SNS広告
50,中村 莉子　,M,43.0,東京都,2024-01-11,検索広告
51,吉田 凛,F,56.0,兵庫県,2024-12-08,オーガニック検索
52,伊藤 莉子　,女性,45.0,大阪府,2024-04-11,メルマガ
53,佐藤 大翔,女性,51.0,東京都,2024-06-12,SNS広告
54,松本 結衣　,男性,44.0,大阪府,2024-06-22,オーガニック検索
55,吉田 芽依,男性,50.0,神奈川県,2024-06-02,SNS広告
56,山田 樹,女性,23.0,大阪府,2024-01-04,オーガニック検索
57,小林 美咲,男性,, 神奈川県 ,2023-06-06,検索広告
58,山本 悠人　,M,38.0,千葉県,2024/08/10,検索広告
59,山本 芽依,女性,35.0,神奈川県,2024-08-03,オーガニック検索
60,佐々木 樹,男性,, 東京都 ,2023/08/03,SNS広告
61,田中 さくら,男性,46.0,愛知県,2024-11-13,SNS広告
62,渡辺 莉子,女性,43.0,大阪府,2023-02-05,SNS広告
63,伊藤 大翔,女性,36.0,大阪府,2023-02-22,検索広告
64,小林 樹,M,29.0,神奈川県,2023-06-15,オーガニック検索
65,井上 芽依,男性,51.0,千葉県,2023-11-22,SNS広告
66,松本 芽依,男性,42.0,大阪府,2024-03-26,SNS広告
67,小林 莉子,男性,26.0, 宮城県 ,2024-01-23,メルマガ
68,田中 悠人,M,36.0,宮城県,2024-03-17,オーガニック検索
69,井上 大翔,F,18.0,神奈川県,2023-11-30,検索広告
70,渡辺 陽菜,F,38.0,東京都,2024-10-18,オーガニック検索
71,渡辺 凛,女性,36.0, 神奈川県 ,2023-10-23,検索広告
72,松本 大翔,男性,31.0,東京都,2023-12-23,検索広告
73,伊藤 悠人,男性,57.0,愛知県,2023-08-01,オーガニック検索
74,中村 蓮,男性,,大阪府,2024-03-06,検索広告
75,松本 莉子,女性,46.0,大阪府,2024/08/25,検索広告
76,渡辺 さくら,F,64.0,愛知県,2024-11-23,メルマガ
